Titre;mois_sortie;annee_sortie;date_sortie;duree_min;genre1;réalisateur_1;actor_1;actor 2;note_spectators;Scer;tiolity 1;nomitions;language;real awards;first actor awards;Second actor awards
#No_Filter;5;2023;5 mai 2023;87;Epouvante-horreur;Michael Dupret;Hanh McIver;Jasmine Daoud;1,6;;Belgique;0;Anglais;;;
10;12;2022;22 décembre 2022;124;Drame;Karm Chawla;Viy Rajkumar;Anusha Rangath;;;Inde;0;-;;;
13 : La comédie musicale;8;2022;12 août 2022;94;Drame;Tamra Davis;Eli Golden;Josh Peck;2,6;Robert Horn;U.S.A.;0;Anglais;1;;0
13 Minutes;3;2022;23 mars 2022;;Policier;;Jimmy Waitman;;3;;U.S.A.;0;Anglais;;0;0
16 ans;1;2023;4 janvier 2023;94;Drame;Philippe Lioret;Sabri Levoye;Teïlo Azaïs;3,6;Philippe Lioret;France;1;Français;4;;0
1UP;7;2022;15 juillet 2022;100;Comédie;Kyle Newman;Paris Berelc;Taylor Zakhar Perez;2,2;Julia Yorks;Cada;0;Anglais;0;0;0
20th Century Girl;10;2022;octobre 2022;119;Drame;Woo-ri Bang;Yoo-jeong Kim;Hyo-ju Han;3,9;Woo-ri Bang;Corée du Sud;0;Coréen;;0;
365 jours : Au lendemain;4;2022;27 avril 2022;106;Drame;Barbara Bialowas;Michele Morrone;An-Maria Sieklucka;1,2;Tomasz Mandes;Pologne;2;Anglais, Italien, Polois;;;
365 Jours : L'Année d'Après;8;2022;19 août 2022;112;Drame;Barbara Bialowas;Michele Morrone;An-Maria Sieklucka;1,3;Tomasz Mandes;Pologne;2;Polois;;;
47 Ronin - Le Sabre de la Vengeance;1;2023;25 janvier 2023;106;Action;Ron Yuan;An Aka;Mark Dacascos;2,1;John Swetm;U.S.A.;0;Anglais;0;0;0
99 Moons;5;2023;10 mai 2023;111;Drame;Jan Gassmann;Valenti Di Pace;Dominik Fellmann;2,6;Jan Gassmann;Suisse;1;Suisse allemand;3;;
À chacun son secret;12;2022;1 décembre 2022;90;Policier;Francis Meletzky;Franziska Hartmann;Stephan Szasz;3,3;Elke Rössler;Allemagne;0;Allemand;0;;0
A Day to Die;6;2022;22 juin 2022;105;Action;Wes Miller;Kevin Dillon;Bruce Willis;1,3;Scott Mallace;U.S.A.;0;Anglais;;6;1
A E I O U - L'alphabet rapide de l'amour;12;2022;21 décembre 2022;104;Comédie;Nicolette Krebitz;Sophie Rois;Udo Kier;2;Nicolette Krebitz;Allemagne;9;Allemand, Français;0;1;1
A Human Position;1;2023;30 janvier 2023;78;Drame;Anders Emblem;Amalie Ibsen Jensen;Maria Agwumaro;2,8;Anders Emblem;Norvège;0;Norvégien;;;
A Jazzman's Blues;9;2022;23 septembre 2022;127;Policier;Tyler Perry;Joshua Boone;Amirah Vann;3,5;Tyler Perry;U.S.A.;0;Anglais;3;0;0
A l'Ouest, rien de nouveau;10;2022;28 octobre 2022;148;Drame;Edward Berger;Felix Kammerer;Albrecht Schuch;4,1;Ian Stokell;Allemagne;1113;Allemand, Anglais;9;;1
À mon seul désir;4;2023;5 avril 2023;117;Drame;Lucie Borleteau;Zita Hanrot;Louise Chevillotte;3,4;Lucie Borleteau;France;0;Français;2;3;0
A propos de Joan;9;2022;14 septembre 2022;101;Drame;Laurent Larivière;Isabelle Huppert;Lars Eidinger;2,9;Laurent Larivière;France;2;Français;11;19;0
A Simple Lie;4;2023;8 avril 2023;98;Comédie;Biodun Stephen;Bukunmi Adeaga-Ilori;Bisola Aiyeola;;;Nigéria;0;Anglais;;;
À travers ma fenêtre;2;2022;4 février 2022;113;Drame;Marçal Forès;Julio Peña (III);Clara Galle;2,3;Marçal Forès;Espagne;0;Espagnol;1;;
Abandoned;12;2022;5 décembre 2022;;Drame;Spencer Squire;Emma Roberts;John Gallagher Jr.;1,9;Jessica Scott;U.S.A.;0;Anglais;;3;0
Aboubakar et moi (Chronique d'un confinement);6;2022;29 juin 2022;87;Drame;Rémi Lange;Aboubakar Soumahoro;Rémi Lange;2,9;Rémi Lange;France;0;Français;0;;0
About Fate;12;2022;16 décembre 2022;100;Comédie;Marius Balchus;Emma Roberts;Thomas Mann (II);2,8;Tiffany Paulsen;U.S.A.;0;Anglais;0;3;0
About Kim Sohee;4;2023;5 avril 2023;137;Policier;July Jung;Doo Bae;Kim Si-eun;4,1;July Jung;Corée du Sud;2;Coréen;7;0;
Absolument royal !;1;2022;20 janvier 2022;96;Comédie;Rick Jacobson;Laura Marano;Me Massoud;2,2;Holly Hester;U.S.A.;0;Anglais;1;0;0
Acharya;4;2022;29 avril 2022;136;Action;Koratala Siva;Chiranjeevi Siva Sankara Vara Prasad Konidela;Ram Charan;2,9;Koratala Siva;Inde;0;Autre;;0;
Adade Sundara;6;2022;15 juin 2022;176;Comédie;Vivek Athreya;ni;zriya zim;2,8;;Inde;0;Tamoul;;;0
Adam à travers le temps;3;2022;11 mars 2022;106;Action;Shawn Levy;Ryan Reynolds;Mark Ruffalo;3,3;Jothan Tropper;U.S.A.;0;Anglais;9;5;4
Adam By Eve: A Live In Animation;10;2022;24 octobre 2022;58;Animation;;;;2,6;;Japon;0;Japois;;0;0
After - Chapitre 4;9;2022;22 septembre 2022;95;Drame;Castille Landon;Josephine Langford;Hero Fiennes Tiffin;2,6;Sharon Soboil;U.S.A.;0;Anglais;0;0;0
Aftersun;2;2023;1 février 2023;102;Drame;Charlotte Wells;Paul Mescal;Frankie Corio;3,8;Charlotte Wells;Grande-Bretagne;415;Anglais;;1;
Ah Belinda;4;2023;7 avril 2023;97;Comédie;Deniz Yorulmazer;Neslihan Atagül;Serkan Çayoğlu;2,6;Hakan Bonomo;Turquie;0;Turc;;0;
Ailleurs si j'y suis;3;2023;29 mars 2023;103;Comédie;François Pirot;Jérémie Renier;Suzanne Clément;3;François Pirot;Belgique;0;Français;1;5;1
Aime-moi !;4;2023;13 avril 2023;88;Drame;Eyal Kantor;Yoav Keren;Gal Amitai;3;Didi Lubetzky;Israël;0;Hebreu;;;
Air Force The Movie: Danger Close;2;2023;3 février 2023;103;Action;Zulkarin Azhar;Aiman Hakim Ridza;Adi Putra;;;Malaisie;0;Malais;;;
Aakasam;11;2022;9 novembre 2022;146;Drame;Ra Karthik;Ashok Selvan;Ritu Varma;2,9;;Inde;0;Tamoul;;0;
All My Friends Hate Me;1;2023;1 janvier 2023;93;Comédie;Andrew Gaynord;Tom Stourton;Georgi Campbell;3;Tom Stourton;Grande-Bretagne;0;Anglais;0;0;0
Alerte rouge;3;2022;11 mars 2022;100;Animation;Domee Shi;Rosalie Chiang;Sandra Oh;3,5;Domee Shi;U.S.A.;3;Anglais;;;5
Alice;9;2022;26 septembre 2022;98;Drame;Krystin Ver Linden;Keke Palmer;Common;2,7;Krystin Ver Linden;U.S.A.;1;Anglais;;0;0
Alitée;5;2023;4 mai 2023;91;Epouvante-horreur;Lori Evans Taylor;Melissa Barrera;Guy Burnet;1,7;Lori Evans Taylor;U.S.A.;0;Anglais;0;0;0
Alma Viva;4;2023;12 avril 2023;88;Drame;Cristèle Alves Meira;Lua Michel;A Padrão;3,7;Cristèle Alves Meira;Portugal;9;Portugais;2;;0
Amandla;1;2022;21 janvier 2022;106;Policier;Neri De Jager;Lemogang Tsipa;Thabo Rametsi;2,2;Neri De Jager;Afrique du Sud;0;Anglais, Afrikaans, Zulu;;0;0
Ambulance;3;2022;23 mars 2022;136;Action;Michael Bay;Jake Gyllenhaal;Yahya Abdul-Mateen II;2,7;Chris Fedak;U.S.A.;0;Anglais, Afrikaans, Zulu;3;3;1
American Girl;10;2022;7 octobre 2022;115;Drame;Mike Barker;Mila Kunis;Chiara Aurelia;3,2;Jessica Knoll;U.S.A.;0;Anglais;0;1;0
American Murderer;1;2023;30 janvier 2023;;Policier;Matthew Gentile;Tom Pelphrey;Ryan Phillippe;2;Matthew Gentile;U.S.A.;0;Anglais;;0;1
Amis d'enfance;7;2022;5 juillet 2022;97;Comédie dramatique;Sam Karmann;Isabelle Gélis;Nicolas Briançon;3,2;Catherine Wimphen;France;0;Français;3;1;0
Amour Sucré;12;2022;2 décembre 2022;;Comédie;Jothan MacPherson;Mercedes de la Cruz;Rhiannon Fish;;Haidyn Harvey;U.S.A.;0;Anglais;;;
Amour, set et match;12;2022;9 décembre 2022;91;Comédie;Christine Conradt;Cristine Prosperi;Dale Moss;;;U.S.A.;0;Anglais;0;0;
Amsterdam;11;2022;1 novembre 2022;134;Policier;David O. Russell;Christian Bale;Margot Robbie;2,8;David O. Russell;U.S.A.;1;Anglais;6;6;12
Ammu;10;2022;18 octobre 2022;;Drame;;;;;;Inde;0;Autre;;0;0
An Action Hero;1;2023;27 janvier 2023;130;Action;Anirudh Iyer;Ayushmann Khurra;Jaideep Ahlawat;;;Inde;0;Hindi;;0;0
An Inconvenient Love;3;2023;16 mars 2023;124;Comédie;Petersen Vargas;Belle Mariano;Donny Pangilin;;;Philippines;0;Anglais, Filipino;;;
Anya;8;2022;24 août 2022;122;Drame;Pratap Phad;Hruta Durgule;Amey Wagh;;;Inde;0;-;;;
Anek;10;2022;24 octobre 2022;;Action;Anubhav Sinha;Ayushmann Khurra;J. D. Chakravarthy;;;Inde;0;Hindi;0;0;
Annie Colère;11;2022;30 novembre 2022;120;Comédie dramatique;Blandine Lenoir;Laure Calamy;Zita Hanrot;4;Blandine Lenoir;France;7;Français;5;2;3
Aníkúlápó;9;2022;30 septembre 2022;142;Drame;Kunle Afolayan;Bimbo Ademoye;Dele Odule;2,2;;Nigéria;0;Anglais;0;;
Animals;2;2023;15 février 2023;92;Policier;bil Ben Yadir;Soufiane Chilah;Gianni Guettaf;3,4;bil Ben Yadir;Belgique;0;Français;1;0;
Ante Sundharaniki;6;2022;10 juin 2022;176;Comédie;Vivek Athreya;ni;zriya zim;2,8;;Inde;0;Autre;;;0
Apaches;3;2023;29 mars 2023;95;Drame;Romain Quirot;Alice Isaaz;Niels Schneider;3;Romain Quirot;Belgique;0;Français;;1;2
Apples;4;2022;13 avril 2022;90;Comédie;Christos Nikou;Aris Servetalis;Sofia Georgovassili;3,3;Christos Nikou;Grèce;0;Grec;;0;0
Après le silence;11;2022;16 novembre 2022;90;Drame;Jérôme Cornuau;Caroline Anglade;Clovis Cornillac;3,2;Raphaëlle Roudaut;France;0;Français;2;0;7
Aqua Teen Forever: Plantasm;3;2023;19 mars 2023;79;Animation;Matt Maiellaro;Da Snyder;Carey Means;;Matt Maiellaro;U.S.A.;0;Anglais;0;0;0
Aaraattu;2;2022;18 février 2022;167;Action;B. Unnikrishn;Mohanlal;;;;Inde;0;Autre;;0;0
Argenti, 1985;10;2022;21 octobre 2022;140;Drame;Santiago Mitre;Ricardo Darín;Alejandra Flechner;3,8;Mariano Llinás;Argentine;16;Espagnol;3;1;0
Ariyippu;12;2022;20 décembre 2022;107;Drame;Mahesh rayan;Kunchacko Boban;Faisal Malik;3;Mahesh rayan;Inde;0;Autre;;;
Armageddon Time;11;2022;9 novembre 2022;115;Drame;James Gray;Anne Hathaway;Jeremy Strong;3,7;James Gray;U.S.A.;8;Anglais;1;4;1
Arthur, malédiction;6;2022;29 juin 2022;87;Epouvante-horreur;Barthélémy Grossmann;Vadim Agid;Lola Andreoni;1,1;Luc Besson;France;0;Français;0;;0
As bestas;7;2022;20 juillet 2022;137;Drame;Rodrigo Sorogoyen;Mari Foïs;Denis Ménochet;4,1;Isabel Peña;Espagne;22;Espagnol, Français;3;1;1
Ashiap Man;11;2022;16 novembre 2022;102;Action;;Arswendy Bening Swara;Samuel Rizal;;;Indonésie;0;Indonésien;;;
Ashkal, l'enquête de Tunis;1;2023;25 janvier 2023;92;Thriller;Youssef Chebbi;Fatma Oussaifi;Mohamed Houcine Grayaa;3,1;Youssef Chebbi;Tunisie;4;Arabe;13;;
Astrakan;2;2023;8 février 2023;104;Drame;David Depesseville;Mirko Gianinni;Jehnny Beth;3,2;David Depesseville;France;0;Français;0;;1
Attack on Titan;4;2023;26 avril 2023;93;Action;Noah Luke;Michael Paré;Erin Coker;;Gil Lu;U.S.A.;0;Anglais;0;0;
Athe;9;2022;23 septembre 2022;97;Action;Romain Gavras;Dali Benssalah;Sami Slimane;2,6;Romain Gavras;France;4;Français;5;0;
Au plein air;10;2022;14 octobre 2022;86;Drame;Collyns Tafial;Collyns Tafial;Marc Adjadj;3,5;;France;0;Français;;;0
Au revoir le bonheur;1;2023;11 janvier 2023;107;Comédie;Ken Scott;François Arud;Antoine Bertrand;3,3;Ken Scott;Cada;13;Français;1;0;0
Aucun ours;11;2022;23 novembre 2022;107;Drame;Jafar Pahi;Jafar Pahi;ser Hashemi;3,8;Jafar Pahi;Iran;13;Perse, Azéri;9;9;
Avalonia, l'étrange voyage;12;2022;23 décembre 2022;102;Aventure;Don Hall;Jake Gyllenhaal;Dennis Quaid;2,5;Don Hall;U.S.A.;0;Anglais;1;3;1
Avant l’effondrement;4;2023;19 avril 2023;100;Comédie dramatique;Alice Zeniter;Niels Schneider;Ariane Labed;3;Alice Zeniter;France;0;Français;;2;3
Avant, j'étais célèbre;9;2022;16 septembre 2022;104;Comédie;Eddie Sternberg;Ed Skrein;Leo Long;3,2;Eddie Sternberg;Grande-Bretagne;0;Anglais;;0;
Avatar : la voie de l'eau;12;2022;14 décembre 2022;192;Action;James Cameron;Sam Worthington;Zoe Salda;4,3;James Cameron;U.S.A.;26;Anglais;9;0;0
Avatara Purusha;6;2022;13 juin 2022;128;Comédie;Suni;Ashika Rangath;Saikumar;2,8;Suni;Inde;0;Autre;;;0
Avec amour et acharnement;8;2022;31 août 2022;116;Drame;Claire Denis;Juliette Binoche;Vincent Lindon;1,9;Claire Denis;France;18;Français;1;8;6
Avoue, Fletch;1;2023;12 janvier 2023;98;Comédie;Greg Mottola;Jon Hamm;Marcia Gay Harden;2,6;Zev Borow;U.S.A.;0;Anglais;1;6;2
Babbar;3;2022;18 mars 2022;125;Action;Amar Hundal;Amrit Mann;Yograj Singh;2,8;;Inde;0;Autre;;;0
Babe Bhangra Paunde Ne;10;2022;5 octobre 2022;150;Comédie;Amarjit Singh;Gurpreet Bhangu;Devinder Dillon;2,6;resh Kathooria;Inde;0;Autre;;0;
Babylon;1;2023;18 janvier 2023;189;Drame;Damien Chazelle;Brad Pitt;Margot Robbie;4,2;Damien Chazelle;U.S.A.;29;Anglais;8;14;12
Bachchan Pandey;3;2022;18 mars 2022;150;Action;Farhad Samji;Akshay Kumar;Kriti Sanon;2,5;Farhad Samji;Inde;0;Hindi;;0;0
Badhaai Do;2;2022;11 février 2022;146;Comédie;Harshavardhan Kulkarni;Bhumi Pednekar;Rajkummar Rao;3;Harshavardhan Kulkarni;Inde;0;Hindi;;;0
Bajre Da Sitta;7;2022;15 juillet 2022;150;Drame;Jass Grewal;Ammy Virk;Guggu Gill;3,1;Jass Grewal;Inde;0;Autre;;0;0
Baking All the Way;2;2023;6 février 2023;85;Romance;Yannick Bisson;Cory Lee;Yannick Bisson;3;Courtney McAllister;U.S.A.;0;Anglais;0;0;0
Balle perdue 2;11;2022;10 novembre 2022;98;Action;Guillaume Pierret;Alban Lenoir;Stéfi Celma;3,1;Guillaume Pierret;France;0;Français;;1;0
Bandit;12;2022;22 décembre 2022;126;Biopic;Allan Ungar;Josh Duhamel;Mel Gibson;3,1;Kraig Wenman;Cada;0;Anglais;0;3;5
Bandit: La légende de Dick Turpin;2;2023;15 février 2023;85;Aventure;Steve Lawson;Ciaron Davies;Steven Dolton;;;Grande-Bretagne;0;Anglais;;;
Barbare;10;2022;26 octobre 2022;103;Epouvante-horreur;Zach Cregger;Georgi Campbell;Bill Skarsgård;3,4;Zach Cregger;U.S.A.;0;Anglais;0;0;0
Bardo, fausse chronique de quelques vérités;12;2022;16 décembre 2022;160;Comédie;Alejandro González Iñárritu;Daniel Giménez Cacho;Griselda Siciliani;3,5;Nicolás Giacobone;Mexique;5;Espagnol;13;1;
Base secrète;2;2023;11 février 2023;104;Action;Henry Joost;Owen Wilson;Jesse Williams;2;Henry Joost;U.S.A.;0;Anglais;0;1;0
Battle For Saipan;1;2023;19 janvier 2023;94;Action;Brandon Slagle;Casper Van Dien;Louis Mandylor;1,8;Brandon Slagle;U.S.A.;0;Anglais;0;0;0
Batman and Superman: Battle of the Super Sons;11;2022;2 novembre 2022;79;Action;Matt Peters;Jack Dylan Grazer;Jack Griffo;3,2;Jeremy Adams;U.S.A.;0;Anglais;0;0;0
Beast;8;2022;24 août 2022;93;Action;Baltasar Kormákur;Idris Elba;Sharlto Copley;2,4;Ryan Engle;U.S.A.;0;Anglais;2;4;0
Beast;4;2022;13 avril 2022;155;Action;Nelson Dilipkumar;Vijay Chandrasekar;Pooja Hegde;3,5;Nelson Dilipkumar;Inde;0;Tamoul;;0;0
Beauty;6;2022;29 juin 2022;100;Drame;Andrew Dosunmu;Gracie Marie Bradley;Aleyse Shannon;1,5;Le Waithe;U.S.A.;0;Anglais;9;0;
Beauty and the Beast: A 30th Celebration;12;2022;16 décembre 2022;120;Aventure;Hamish Hamilton (II);HER;Josh Groban;;Linda Woolverton;U.S.A.;0;Anglais;0;;0
Beavis and Butt-Head Do the Universe;2;2023;11 février 2023;87;Animation;Mike Judge;Mike Judge;;3,6;;U.S.A.;0;Anglais;1;1;0
Before Valentine's;3;2023;7 mars 2023;111;Romance;Michelle Bello;Baaj Adebule;Venita Akpofure;;;Nigéria;0;Anglais;;;
Bergen;3;2022;14 mars 2022;146;Biopic;Mehmet Biy;Farah Zeynep Abdullah;Erdal Beşikçioğlu;4;Sema Kaygusuz;Turquie;0;Turc;0;0;0
Bheemla yak;2;2022;25 février 2022;150;Bollywood;Saagar K. Chandra;Pawan Kalyan;Ra Daggubati;3;;Inde;0;Autre;;0;0
Bhool Bhulaiyaa 2;10;2022;24 octobre 2022;;Bollywood;Anees Bazmee;Kiara Advani;Kartik Aaryan;;;Inde;0;Hindi;0;0;0
Bien plus qu'un au revoir;3;2022;18 mars 2022;96;Comédie;Bruno Ascenzo;Maxi Iglesias;Stephanie Cayo;2,7;Bruno Ascenzo;Pérou;0;Espagnol;;0;0
Big Gold Brick;10;2022;10 octobre 2022;132;Comédie;Brian Petsos;Emory Cohen;Andy Garcia;1,7;Brian Petsos;U.S.A.;0;Anglais;0;0;4
BigBug;2;2022;11 février 2022;111;Comédie;Jean-Pierre Jeunet;Isabelle nty;Elsa Zylberstein;2;Jean-Pierre Jeunet;France;0;Français;9;1;4
Biko;3;2023;3 mars 2023;98;Drame;Teng Bee;Azrel Ismail;Baby Shima;;;Malaisie;0;Malais;;;
Black Adam;10;2022;19 octobre 2022;125;Action;Jaume Collet-Serra;Dwayne Johnson;Aldis Hodge;2,9;Adam Sztykiel;U.S.A.;0;Anglais;2;3;0
Black Crab;3;2022;18 mars 2022;112;Action;Adam Berg;Noomi Rapace;David Dencik;2,4;Adam Berg;Suède;0;Suédois;0;2;0
Black is Beltza II: Ainhoa;11;2022;16 novembre 2022;80;Animation;Fermin Muguruza;Itziar Ituño;Ariad Gil;3,3;Harkaitz Cano;Espagne;0;Espagnol, Basque, Anglais, Français;1;0;0
Black Panther: Wakanda Forever;11;2022;9 novembre 2022;162;Action;Ryan Coogler;Letitia Wright;Angela Bassett;3,2;Ryan Coogler;U.S.A.;26;Anglais;5;1;1
Black Site;11;2022;3 novembre 2022;92;Action;Sophia Banks;Jason Clarke;Jai Courtney;1,8;Jinder Ho;U.S.A.;0;Anglais;;2;0
Blacklight;2;2022;23 février 2022;108;Action;Mark Williams (II);Liam Neeson;Aidan Quinn;1,9;Nick May;U.S.A.;0;Anglais;0;1;0
Blasted : Les aliens ou nous !;6;2022;28 juin 2022;114;Action;;Axel Bøyum;Ingrid Bolsø Berdal;1,7;;Norvège;0;Norvégien;;0;0
Blonde;9;2022;28 septembre 2022;166;Biopic;Andrew Dominik;A de Armas;Julianne Nicholson;2,9;Andrew Dominik;U.S.A.;212;Anglais;2;1;1
Blue Jean;4;2023;19 avril 2023;97;Drame;Georgia Oakley;Rosy McEwen;Kerrie Hayes;3,8;Georgia Oakley;Grande-Bretagne;1;Anglais;;;0
Blue's Big City Adventure;4;2023;30 avril 2023;82;Aventure;Matt Stawski;Traci Paige Johnson;Ava Augustin;2;Angela Santomero;U.S.A.;0;Anglais;;;
Bob's Burgers : le film;7;2022;13 juillet 2022;102;Aventure;Loren Bouchard;H. Jon Benjamin;John Roberts;2,8;Loren Bouchard;U.S.A.;0;Anglais;;0;0
Bodies Bodies Bodies;1;2023;9 janvier 2023;94;Comédie;Hali Reijn;Amandla Stenberg;Maria Bakalova;2,2;Sarah DeLappe;U.S.A.;0;Anglais;0;0;4
Book of Love;2;2022;4 février 2022;106;Comédie;Aleine Cal y Mayor;Sam Claflin;Verónica Echegui;2,5;David Quantick;Grande-Bretagne;0;Anglais;0;0;0
Bones and All;11;2022;23 novembre 2022;130;Drame;Luca Guadagnino;Timothée Chalamet;Taylor Russell;3,3;David Kajganich;Italie;14;Anglais;19;8;0
Borrego;1;2022;17 janvier 2022;102;Thriller;Jesse Harris;Lucy Hale;Nicholas Gonzalez;2,4;Jesse Harris;U.S.A.;0;Anglais;;1;0
Bowling Saturne;10;2022;26 octobre 2022;114;Drame;Patricia Mazuy;Arieh Worthalter;Achille Reggiani;2,7;Patricia Mazuy;France;0;Français;11;0;
Boys of Summer;7;2017;17 juillet 2017;;Aventure;David Henrie;Mel Gibson;Mason Thames;;Cornelius Uliano;U.S.A.;0;Anglais;0;5;
Boyz 3;10;2022;20 octobre 2022;136;Drame;Vishal Devrukhkar;Parth Bhalerao;Pratik Lad;;;Inde;0;-;;0;
Brahmāstra: Part One – Shiva;9;2022;9 septembre 2022;167;Aventure;Ayan Mukherjee;Ranbir Kapoor;Alia Bhatt;3,1;Ayan Mukherjee;Inde;0;Hindi;;1;0
Braquer Mussolini;10;2022;26 octobre 2022;90;Action;Reto De Maria;Pietro Castellitto;Matilda De Angelis;2,1;Reto De Maria;Italie;0;Italien;1;0;0
Breaking;5;2023;27 mai 2023;103;Policier;Abi Damaris Corbin;John Boyega;Nicole Beharie;3;Abi Damaris Corbin;U.S.A.;0;Anglais;;1;0
Brian and Charles;2;2023;17 février 2023;90;Comédie;Jim Archer;David Earl;Chris Hayward (III);2,6;David Earl;Grande-Bretagne;1;Anglais;;0;
Brighton 4th;4;2023;12 avril 2023;96;Comédie;Levan Koguashvili;Levan Tedaishvili;Giorgi Tabidze;3,6;Boris Frumin;Géorgie;0;Géorgien, Anglais, Russe;0;;
Brillantes;1;2023;18 janvier 2023;103;Comédie dramatique;Sylvie Gautier;Céline Sallette;Thomas Gioria;2,6;Sylvie Gautier;France;0;Français;;2;
Bring It On: Cheer Or Die;4;2023;1 avril 2023;91;Comédie;Karen Lam;Alexandra Beaton;Missi Pyle;2,7;Rebekah McKendry;U.S.A.;0;Anglais;;0;0
Broad Peak;9;2022;14 septembre 2022;101;Drame;Leszek Dawid;Ireneusz Czop;Maja Ostaszewska;3;Lukasz Ludkowski;Pologne;0;Polois;;0;0
Broadway;6;2022;1 juin 2022;97;Drame;Christos Massalas;Elsa Lekakou;Foivos Papadopoulos;2,9;Christos Massalas;Grèce;0;Grec;1;;
Broken Wings;12;2022;23 décembre 2022;110;Drame;Rudy Soedjarwo;Nicholas Saputra;Ariel Tatum;;;Indonésie;0;Indonésien;;0;
Bromates;1;2023;9 janvier 2023;94;Comédie;Court Crandall;Asif Ali (IV);Harvey J. Alperin;2,2;Court Crandall;U.S.A.;0;Anglais;;0;0
Bros;10;2022;19 octobre 2022;116;Comédie;Nicholas Stoller;Billy Eichner;Luke MacFarlane;2,7;Billy Eichner;U.S.A.;0;Anglais;0;0;0
BTS: Permission to dance on stage - LA;9;2022;8 septembre 2022;130;Concert;Sam Wrench;Jimin;Suga;3,8;;Corée du Sud;0;Coréen;;;
Buba;8;2022;3 août 2022;94;Comédie;Arne Feldhusen;Bjarne Mädel;Georg Friedrich;2,5;Sebastian Colley;Allemagne;0;Allemand;0;0;1
Bubble;4;2022;28 avril 2022;100;Aventure;Tetsurô Araki;Gabriel Bismuth-Bieimé;Jun Shison;3,6;Gen Urobuchi;Japon;0;Japois;;0;
Buffoon;12;2022;15 décembre 2022;119;Drame;Ashok Veerappan;Vaibhav Reddy;Agha L.K.;;;Inde;0;Tamoul;;;
Bullet;6;2015;11 juin 2015;;Divers;Nick Lyon;;;;;;0;-;0;0;0
Bullet Proof;4;2023;13 avril 2023;81;Action;James Clayton;Vinnie Jones;Li Lecompte;1,8;;Cada;0;Anglais;;0;
Bullet Train;8;2022;3 août 2022;127;Action;David Leitch;Brad Pitt;Joey King;3,9;Zak Olkewicz;U.S.A.;0;Anglais;0;14;3
Burial;4;2023;12 avril 2023;95;Historique;Ben Parker (I);Tom Felton;Harriet Walter;3;Ben Parker (I);Grande-Bretagne;0;Anglais;0;1;1
Burning Days;4;2023;26 avril 2023;128;Drame;Emin Alper;Selahattin Paşalı;Ekin Koç;3,9;Emin Alper;Turquie;6;Turc;2;;0
Burning Hearts;2;2023;11 février 2023;115;Drame;Pippo Mezzapesa;Elodie;Francesco Patanè;3,4;Antonella Gaeta;Italie;2;Italien;0;;
Butterfly Vision;10;2022;12 octobre 2022;107;Drame;Maksym konechnyi;Rita Burkovska;Lyubomyr Valivots;3,4;Maksym konechnyi;Ukraine;8;ukrainien;;;
Buzz l'éclair;6;2022;22 juin 2022;105;Aventure;Angus MacLane;François Civil;Chris Evans;3,4;Angus MacLane;U.S.A.;0;Anglais;1;1;2
C'est Magic ! - À la baguette !;4;2022;6 avril 2022;53;Animation;Max Lang;;;3,4;;Grande-Bretagne;0;Français;1;0;0
C'est Magic ! - De père en fils;4;2022;6 avril 2022;53;Animation;Jakob Schuh;;;3,6;;Grande-Bretagne;0;Français;;0;0
C'est Magic ! - Sucré, salé...;4;2022;6 avril 2022;53;Animation;Jeroen Jaspaert;;;3,4;;Grande-Bretagne;0;Français;;0;0
C'est Magic ! - Tout feu, tout flamme;4;2022;6 avril 2022;53;Animation;Max Lang;;;3,4;;Grande-Bretagne;0;Français;1;0;0
Call Jane;3;2023;8 mars 2023;122;Drame;Phyllis gy;Elizabeth Banks;Sigourney Weaver;3,5;Hayley Schore;U.S.A.;10;Anglais;4;2;3
Caméra Café, 20 ans déjà;1;2023;24 janvier 2023;93;Comédie;Bruno Solo;Bruno Solo;Yvan Le Bolloc'h;2,7;Alexandre Aspergis;France;0;Français;3;3;3
Cannes court métrage;5;2022;11 mai 2022;76;Drame;Adrian Moyse Dullin;;;3,1;;France;0;Français, Portugais, Serbe, Mandarin;;0;0
Caravage;12;2022;28 décembre 2022;118;Biopic;Michele Placido;Riccardo Scamarcio;Louis Garrel;3,4;Michele Placido;Italie;0;Italien, Français;2;0;5
Carbide;1;2023;23 janvier 2023;113;Drame;Josip Žuvan;;;3;;Croatie;0;Serbo-Croate;;0;0
Carpe Diem;7;1905;2022;60;Comédie;Erwan Marinopoulos;Hyam Zaytoun;;;Jean-Yves Arud;France;0;Français;0;0;0
Carter;8;2022;5 août 2022;132;Action;Byeong-gil Jeong;Joo Won;Bo-min Kim;1,9;Byeong-gil Jeong;Corée du Sud;0;Coréen, Anglais;1;;
Catherine Called Birdy;10;2022;7 octobre 2022;108;Comédie;Le Dunham;Bella Ramsey;Billie Piper;3;Le Dunham;U.S.A.;0;Anglais;3;0;0
Catwoman: Hunted;2;2022;23 février 2022;76;Action;Shinsuke Terasawa;Elizabeth Gillies;Stephanie Beatriz;2,5;Greg Weisman;U.S.A.;0;Anglais;;0;0
Causeway;11;2022;4 novembre 2022;92;Drame;Lila Neugebauer;Jennifer Lawrence;Danny Wolohan;3,6;Ottessa Moshfegh;U.S.A.;1;Anglais;;11;0
